District,Division,Area,ProgramYear,Month,AsOfDate,ClubNumber,ClubName,ClubStatus,BaseMembers,ActiveMembers,GoalsMet,CCs,CCsAdd,ACs,ACsAdd,Ldr,LdrsAdd,Level1s,Level2s,Level2sAdd,Level3s,Level45DTMs,Level45DTMsAdd,NewMembers,AddNewMembers,OfficersTrainedRd1,OfficersTrainedRd2,MembersDuesOnTimeOct,MembersDuesOnTimeApr,OfficerListOnTime,COTMet,Goal10Met,DistinguishedStatus,MembersGrowth,AwardsPerMember,DCPEligibility,MonthlyGrowth,30SeptMembers,31MarMembers,Region,NovADVisit,MarADVisit
91,B,06,2014,7,2014-08-07,00005235,London Olympian Speakers Toastmasters Club,Active,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,06,2014,7,2014-08-07,00007951,London Corinthians Toastmasters,Active,48,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,-2,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,06,2014,7,2014-08-07,00674907,London Cardinals Club,Active,58,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,false,true,false,false,,2,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,06,2014,7,2014-08-07,01592500,Phoenix Speakers,Active,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,29,2014,7,2014-08-07,00002731,"Riverside Communicators ",Active,56,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0.02,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,29,2014,7,2014-08-07,00007365,London Athenian Speakers Toastmasters Club,Active,80,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,false,false,true,false,false,,-4,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,29,2014,7,2014-08-07,00589261,Trojan Speakers Club,Active,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,false,false,true,false,false,,3,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,29,2014,7,2014-08-07,00885179,West London Speakers Club,Active,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,false,false,true,false,false,,2,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,45,2014,7,2014-08-07,00009079,Excalibur Speakers,Active,30,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,false,false,true,false,false,,-2,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,45,2014,7,2014-08-07,00835375,Early Bird Speakers,Active,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,45,2014,7,2014-08-07,01519329,Covent Garden Speakers,Active,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,52,2014,7,2014-08-07,00002390,Berkeley Square Speakers Toastmasters Club,Active,56,56,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0.04,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,52,2014,7,2014-08-07,00004141,Grosvenor Square Club,Active,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,false,false,true,false,false,,2,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,52,2014,7,2014-08-07,01095711,Polish Your Polish,Active,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,52,2014,7,2014-08-07,02165768,Imperial College Speakers,Active,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,B,52,2014,7,2014-08-07,02277701,Kings Speakers,Active,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,true,false,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,53,2014,7,2014-08-07,00002487,Epsom Speakers Club,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,53,2014,7,2014-08-07,00005391,Mole Valley Speakers Club,Active,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,B,53,2014,7,2014-08-07,01270293,LBM Speakers (staff only),Active,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,true,false,false,,0,0,false,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,00009834,Guildford Speaker's Club,Active,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,false,false,true,false,false,,1,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,00886002,Woking Speakers Toastmasters Club,Active,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,00961893,Camberley Speakers,Active,28,30,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,false,false,true,false,false,,2,0.07,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,01500528,Farnham Speakers Club,Active,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,14,2014,7,2014-08-07,02673910,Fluor Farnborough Speakers,Active,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,false,false,true,false,false,,-19,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,00004827,Chiltern Speakers Club,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,00005461,Maidenhead Speakers Club,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,00758236,Windsor Speakers Club,Active,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,01937571,FM Global Communicators,Active,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,21,2014,7,2014-08-07,03124015,Wokingham Speakers,Active,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,00005774,Solent Speakers Club,Active,20,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,00007298,Arun Speakers,Active,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0,true,XXX,XXX,XXX,XXX,XXX,XXX
91,H,32,2014,7,2014-08-07,01321786,County Communicators,Active,22,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,false,,0,0.05,true,XXX,XXX,XXX,XXX,XXX,XXX
