Month,AsOfDate,MonthEndDate,ProgramYear,District,Division,Area,ClubNumber,ClubName,ClubStatus,BaseMembers,ActiveMembers,GoalsMet,CCs,CCsAdd,ACs,ACsAdd,Ldr,LdrsAdd,Level1s,Level2s,Level2sAdd,Level3s,Level45DTMs,Level45DTMsAdd,NewMembers,AddNewMembers,OfficersTrainedRd1,OfficersTrainedRd2,COTMet,MembersDuesOnTimeOct,MembersDuesOnTimeApr,OfficerListOnTime,Goal10Met,DistinguishedStatus,MembersGrowth,AwardsPerMember,DCPEligibility,MonthlyGrowth,30SeptMembers,31MarMembers,Region,NovADVisit,MayADVisit,TotalNewMembers,LateRenewals,OctRenewals,AprRenewals,TotalCharter,TotalToDate,CharterSuspendDate
7,2014-08-07,2014-07-31,2014,91,J,04,309,Thame Speakers Club,Active,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,false,true,false,,0,0,true,0,27,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,47,501,London Communicators Club,Active,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,25,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,42,742,Hallmark Speakers,Active,32,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.03,true,0,32,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,04,762,Aylesbury Speakers,Active,23,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,false,true,false,,0,0.04,true,0,23,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,58,2027,City of London Toastmasters Club,Active,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,45,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,61,2326,HOD Speakers Club,Active,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,33,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,52,2390,Berkeley Square Speakers Toastmasters Club,Active,56,56,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.04,true,0,56,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,53,2487,Epsom Speakers Club,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,false,false,false,true,false,,0,0,true,0,36,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,K,31,2656,Speakeasy@Credit Suisse,Active,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,36,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,B,29,2731,"Riverside Communicators ",Active,56,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0.02,true,0,56,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,22,2965,Newbury Speakers Club,Active,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,true,false,,0,0,true,0,23,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,L,34,3149,Holborn Speakers,Active,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,true,false,,0,0,true,0,64,0,11,false,false,0,0,0,0,0,0,
7,2014-08-07,2014-07-31,2014,91,J,07,3297,Oxford Speakers Club,Active,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,false,false,false,true,false,,-1,0,true,0,31,0,11,false,false,0,0,0,0,0,0,
