ClubId,ClubName,District,Division,Area,Prospective,Street,City,Postcode,Longitude,Latitude,CountryName,CharterDate,Location,MeetingDay,MeetingTime,FacebookLink,Website,OnlineAttendance
309,Thame Speakers,91,J,04,false,Church Road,"Thame, Oxfordshire",OX9 3AJ,-0.98,51.75,United Kingdom,1981-12-01,The Barns Centre,2nd & 4th Wednesday,7.45 for 8:00 pm,https://www.facebook.com/pages/Thame-Speakers-Club/189834404365511,http://www.thamespeakers.co.uk/,false
501,London Communicators Club,91,L,47,false,87 Noel Road,London,N1 8HD,-0.1,51.53,United Kingdom,1998-03-01,The Island Queen,2nd & 4th Monday of the month,6.50 pm,https://www.facebook.com/LondonCommunicatorsToastmastersClub,http://www.londoncommunicators.org.uk/,false
742,Hallmark Speakers,91,A,42,false,"East Overcliffe, Grove Road","Bournemouth, Dorset",BH1 3DN,-1.84,50.73,United Kingdom,2001-03-07,The Carlton Hotel,2nd Wed ONLINE & 4th Wed IN PERSON,7:15pm for 7:30pm Start,https://www.facebook.com/Hallmark-Speakers-Public-Speaking-Club-1429188973988586,http://www.hallmarkspeakers.org.uk,true
762,Aylesbury Speakers,91,J,04,false,Friarscroft Way,Aylesbury,HP20 2TE,-0.82,51.82,United Kingdom,1956-08-01,Aylesbury Multi Cultural Centre,1st & 3rd Monday,7:30 pm,https://www.facebook.com/AylesburySpeakers,http://aylesburyspeakers.toastmasterclub.org/,false
2027,City of London Toastmasters Club,91,K,03,false,Aldgate High Street,London,EC3N 1AB,-0.08,51.52,United Kingdom,1995-11-01,St Botolph's Church,"1st, 3rd & 5th  Tuesday",6:45 pm,https://www.facebook.com/cityspeakers,http://www.cityoflondontoastmasters.org/,false
2326,HOD Speakers Club,91,L,61,false,"Please contact club directly, for further information.",Harrow,HA,-0.36,51.58,United Kingdom,2001-09-28,Variable<br>(NOT 4 JULY 2024),First and Third Thursdays monthly,7.15pm for 7.30pm start,https://www.facebook.com/HODspeakers/,https://hod-tv.uk/,false
2390,Berkeley Square Speakers Toastmasters Club,91,L,16,false,Contact VP Membership please,London,W1K 2PA,-0.15,51.51,United Kingdom,1998-02-01,Grosvenor Chapel<br>South Audley Street,Wednesdays,7.30 am - 8.45 am,https://www.meetup.com/berkeley-square-speakers/                        facebook,http://berkeleysquarespeakers.toastmastersclubs.org/,false
2487,Epsom Speakers Club,91,D,53,false,"Stoneleigh Methodist Church Centre , 1 Stoneleigh Crescent ",Epsom,KT19 0RT,-0.25,51.37,United Kingdom,1966-01-01,"Stoneleigh Methodist Church Centre <br>1 Stoneleigh Crescent, Epsom KT19 0RT","1st & 3rd Monday ",7:30 pm,https://www.facebook.com/epsomspeakersclub/,https://www.epsomspeakers.co.uk/,false
2731,Riverside Communicators,91,D,29,false,"44 York Street, Twickenham",London,TW1 3BZ,-0.33,51.45,United Kingdom,1998-06-01,York House - Hyde Room,"1st, 3rd (& 5th) Wednesday of the month ",7:00 pm for 7:30 pm,https://www.facebook.com/riversidecommunicators,https://www.riversidecommunicators.org,false
2965,Newbury Speakers Club,91,A,46,false,Racecourse Road,Newbury,RG14 7PN,-1.3,51.4,United Kingdom,1984-05-01,Nuffield Health Club,2nd & 4th Tuesday,7:30 pm,https://www.facebook.com/NewburySpeakers/,http://www.newburyspeakers.org/,false
