MonthEndDate,AsOfDate,Month,ProgramYear,Region,District,DSP,DECTraining,NewPayments,OctPayments,AprilPayments,LatePayments,CharterPayments,TotalYtdPayments,PaymentBase,PaymentGrowth,PaidClubBase,PaidClubs,ClubGrowth,ActiveClubs,DistinguishedClubs,SelectDistinguishedClubs,PresidentsDistinguishedClubs,TotalDistinguishedClubs,DistinguishedClubsPercentage
2012-07-31,2012-07-31,7,2012,10,01,true,true,99,2,0,4,0,105,6527,-0.9839,144,131,-0.0903,143,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,01,02,true,true,120,4,0,7,0,131,7661,-0.9829,187,175,-0.0642,187,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,10,03,true,true,130,8,0,7,18,163,9167,-0.9822,208,197,-0.0529,204,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,02,04,true,true,163,31,0,21,20,235,11141,-0.9789,241,243,0.0083,239,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,10,05,true,true,100,18,0,11,20,149,6442,-0.9769,145,143,-0.0138,146,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,04,06,true,true,113,39,0,15,0,167,10573,-0.9842,280,275,-0.0179,279,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,02,07,true,true,91,5,0,4,0,100,6357,-0.9843,171,170,-0.0058,171,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,08,true,true,80,2,0,4,0,86,4470,-0.9808,113,99,-0.1239,113,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,01,09,true,true,21,1,0,2,21,45,2086,-0.9784,63,62,-0.0159,64,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,06,10,true,true,65,22,0,21,0,108,4088,-0.9736,105,95,-0.0952,105,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,05,11,true,true,56,56,0,17,20,149,5175,-0.9712,149,140,-0.0604,150,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,10,12,true,true,53,9,0,3,0,65,4249,-0.9847,128,110,-0.1406,128,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,13,true,true,31,3,0,11,0,45,2863,-0.9843,74,71,-0.0405,73,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,08,14,true,true,203,88,2,25,24,342,13067,-0.9738,310,281,-0.0935,311,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,01,15,true,true,39,1,0,3,0,43,3096,-0.9861,85,79,-0.0706,84,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,03,16,true,true,38,3,0,6,21,68,3079,-0.9779,84,81,-0.0357,85,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,12,17,true,true,56,10,0,5,0,71,2512,-0.9717,63,66,0.0476,63,0,0,0,0,0
2012-07-31,2012-07-31,7,2012,07,18,true,true,68,10,0,9,0,87,4411,-0.9803,108,103,-0.0463,108,0,0,0,0,0
